Categoria,Nome,Texto,Valor
Pizzas Salgadas,Mussarela,Dobro de mussarela,"R$ 39,90"
Pizzas Salgadas,Napolitana,"Mussarela, Tomate fresco e Parmesão","R$ 39,90"
Pizzas Salgadas,Margherita,"Mussarela, Tomate e Manjericão frescos","R$ 39,90"
Pizzas Salgadas,Milho Cremoso,"Mussarela, Milho e Requeijão","R$ 39,90"
Pizzas Salgadas,Milho e Bacon,"Mussarela, Milho e Bacon","R$ 44,90"
Pizzas Salgadas,Frango c/ Requeijão,"Mussarela, Frango Desfiado e Requeijão","R$ 44,90"
Pizzas Salgadas,Calabresa Acebolada,"Mussarela, Calabresa e Cebola fatiada","R$ 44,90"
Pizzas Salgadas,Calabresa Cremosa,"Mussarela, Calabresa e Requeijão","R$ 44,90"
Pizzas Salgadas,Brócolis Cremoso,"Mussarela, Brócolis e Requeijão","R$ 44,90"
Pizzas Salgadas,Brócolis com Bacon,"Mussarela, Brócolis e Bacon","R$ 44,90"
Pizzas Salgadas,Lombo Canadense,"Mussarela, Lombo Canadense, Cheddar e Requeijão","R$ 44,90"
Pizzas Salgadas,Lombo California,"Mussarela, Lombo Canadense e Abacaxi","R$ 44,90"
Pizzas Salgadas,Presunto,"Mussarela, Presunto, Cheddar e Requeijão","R$ 44,90"
Pizzas Salgadas,Portuguesa,"Mussarela, Presunto, Ovo, Pimentões, Cebola e Azeitonas","R$ 49,90"
Pizzas Salgadas,Coração,"Mussarela, Coração e Requeijão","R$ 54,90"
Pizzas Salgadas,Costela,"Mussarela, Costela Desfiada e Manjericão","R$ 54,90"
Pizzas Salgadas,Quatro Queijos,"Mussarela, Provolone, Cheddar e Requeijão","R$ 54,90"
Pizzas Doces,M&M's,"Doce de leite, chocolate ao leite e confeitos M&M's","R$ 39,90"
Pizzas Doces,Prestigio,"Doce de leite, chocolate ao leite e coco ralado","R$ 39,90"
Pizzas Doces,Brigadeiro,"Doce de leite, chocolate ao leite e confeitos granulados","R$ 39,90"
Bebidas,Cerveja Latão,Consulte marcas disponíveis,"R$ 7,00"
Bebidas,Cerveja Latão - Combo 5 Un,Consulte marcas disponíveis,"R$ 30,00"
Bebidas,Cerveja Litrão,Consulte marcas disponíveis,"R$ 15,00"
Bebidas,Refrigerante 2Lts,Consulte marcas disponíveis,"R$ 15,00"
Bebidas,Água Mineral 500ml C/ & S/Gás,Consulte marcas disponíveis,"R$ 3,00"
